Ville,Annee,Longitude,Latitude
 BORDEAUX,1958,-0.579496544,44.84181965
 BORDEAUX,1959,-0.481231559,44.97643678
 BORDEAUX,1960,-0.432099067,45.04374534
 BORDEAUX,1961,-0.432099067,45.04374534
 BORDEAUX,1962,-0.432099067,45.04374534
 BORDEAUX,1963,-0.432099067,45.04374534
 BORDEAUX,1964,-0.432099067,45.04374534
 BORDEAUX,1965,-0.432099067,45.04374534
 BORDEAUX,1966,-0.432099067,45.04374534
 BORDEAUX,1967,-0.28470159,45.24567103
 BORDEAUX,1968,-0.206089602,45.35336473
 BORDEAUX,1969,-0.137304113,45.44759672
 BORDEAUX,1970,-0.137304113,45.44759672
 BORDEAUX,1971,-0.009559633,45.62259898
 BORDEAUX,1972,-0.009559633,45.62259898
 BORDEAUX,1973,-0.009559633,45.62259898
 BORDEAUX,1974,-0.009559633,45.62259898
 BORDEAUX,1975,-0.009559633,45.62259898
 BORDEAUX,1976,-0.009559633,45.62259898
 BORDEAUX,1977,0.088705352,45.75721611
 BORDEAUX,1978,0.088705352,45.75721611
 BORDEAUX,1979,0.088705352,45.75721611
 BORDEAUX,1980,0.088705352,45.75721611
 BORDEAUX,1981,0.088705352,45.75721611
 BORDEAUX,1982,-0.02921263,45.59567556
 BORDEAUX,1983,-0.039039128,45.58221384
 BORDEAUX,1984,-0.078345122,45.52836699
 BORDEAUX,1985,0.049399358,45.70336926
 BORDEAUX,1986,0.049399358,45.70336926
 BORDEAUX,1987,-0.019386131,45.60913727
 BORDEAUX,1988,-0.02921263,45.59567556
 BORDEAUX,1989,-0.137304113,45.44759672
 BORDEAUX,1990,0.599683272,46.45722516
 BORDEAUX,1991,0.638989266,46.51107201
 BORDEAUX,1992,0.658642263,46.53799544
 BORDEAUX,1993,0.599683272,46.45722516
 BORDEAUX,1994,0.619336269,46.48414859
 BORDEAUX,1995,0.609509771,46.47068687
 BORDEAUX,1996,0.638989266,46.51107201
 BORDEAUX,1997,0.55055078,46.3899166
 BORDEAUX,1998,0.609509771,46.47068687
 BORDEAUX,1999,0.619336269,46.48414859
 BORDEAUX,2000,0.609509771,46.47068687
 BORDEAUX,2001,0.599683272,46.45722516
 BORDEAUX,2002,0.589856774,46.44376345
 BORDEAUX,2003,0.638989266,46.51107201
 BORDEAUX,2004,0.629162768,46.4976103
 BORDEAUX,2005,0.599683272,46.45722516
 BORDEAUX,2006,0.599683272,46.45722516
 BORDEAUX,2007,0.589856774,46.44376345
 BORDEAUX,2008,0.599683272,46.45722516
 BORDEAUX,2009,0.580030275,46.43030174
 BORDEAUX,2010,0.580030275,46.43030174
 BORDEAUX,2011,0.570203777,46.41684002
 BORDEAUX,2012,0.570203777,46.41684002
 BORDEAUX,2013,0.442459297,46.24183776
 BORDEAUX,2014,0.442459297,46.24183776
 BORDEAUX,2015,0.471938792,46.2822229
 BORDEAUX,2016,0.462112294,46.26876118
 BORDEAUX,2017,1.13031419,47.18415764
 BREST,1958,-5.284409414,48.34683913
 BREST,1959,-5.284409414,48.34683913
 BREST,1960,-5.284409414,48.34683913
 BREST,1961,-5.084848384,48.36008282
 BREST,1962,-5.084848384,48.36008282
 BREST,1963,-5.084848384,48.36008282
 BREST,1964,-5.084848384,48.36008282
 BREST,1965,-5.068218298,48.36118646
 BREST,1966,-3.554880484,48.46161772
 BREST,1967,-3.554880484,48.46161772
 BREST,1968,-3.405209711,48.47155048
 BREST,1969,-3.305429196,48.47817232
 BREST,1970,-3.238908852,48.48258688
 BREST,1971,-3.089238079,48.49251964
 BREST,1972,-3.089238079,48.49251964
 BREST,1973,-3.089238079,48.49251964
 BREST,1974,-3.055977907,48.49472692
 BREST,1975,-3.055977907,48.49472692
 BREST,1976,-3.139128337,48.48920872
 BREST,1977,-3.139128337,48.48920872
 BREST,1978,-3.139128337,48.48920872
 BREST,1979,-3.105868165,48.491416
 BREST,1980,-3.139128337,48.48920872
 BREST,1981,-3.20564868,48.48479416
 BREST,1982,-3.28879911,48.47927596
 BREST,1983,-3.28879911,48.47927596
 BREST,1984,-3.305429196,48.47817232
 BREST,1985,-3.28879911,48.47927596
 BREST,1986,-3.255538938,48.48148324
 BREST,1987,-3.189018594,48.4858978
 BREST,1988,-3.189018594,48.4858978
 BREST,1989,-1.67568078,48.58632906
 BREST,1990,-1.625790523,48.58963998
 BREST,1991,-1.609160437,48.59074362
 BREST,1992,-1.625790523,48.58963998
 BREST,1993,-1.575900265,48.59295091
 BREST,1994,-1.575900265,48.59295091
 BREST,1995,-1.575900265,48.59295091
 BREST,1996,-1.559270179,48.59405455
 BREST,1997,-1.659050694,48.5874327
 BREST,1998,-1.642420609,48.58853634
 BREST,1999,-1.875241811,48.57308538
 BREST,2000,-1.659050694,48.5874327
