"","V1"
"1","ï»¿Ville,Annee,Longitude,Latitude"
"2"," Bordeaux,1958,-0.5805021,44.8404421"
"3"," Bordeaux,1959,-0.482203468456376,44.9751055489933"
"4"," Bordeaux,1960,-0.433054197651007,45.0424373184564"
"5"," Bordeaux,1961,-0.43305429261745,45.0424374134228"
"6"," Bordeaux,1962,-0.433054387583893,45.0424375083893"
"7"," Bordeaux,1963,-0.433054482550336,45.0424376033557"
"8"," Bordeaux,1964,-0.433054577516778,45.0424376983221"
"9"," Bordeaux,1965,-0.433054672483222,45.0424377932886"
"10"," Bordeaux,1966,-0.433054767449665,45.042437888255"
"11"," Bordeaux,1967,-0.285606724832215,45.244432966443"
"12"," Bordeaux,1968,-0.206967805369128,45.3521637114094"
"13"," Bordeaux,1969,-0.13815875704698,45.4464281194631"
"14"," Bordeaux,1970,-0.138158841946309,45.4464282043624"
"15"," Bordeaux,1971,-0.0103705234899327,45.621490590604"
"16"," Bordeaux,1972,-0.0103706040268454,45.6214906711409"
"17"," Bordeaux,1973,-0.0103706845637581,45.6214907516779"
"18"," Bordeaux,1974,-0.0103707651006708,45.6214908322148"
"19"," Bordeaux,1975,-0.0103708456375839,45.6214909127517"
"20"," Bordeaux,1976,-0.0103709261744966,45.6214909932886"
"21"," Bordeaux,1977,0.0879277852348994,45.7561543624161"
"22"," Bordeaux,1978,0.0879277080536913,45.7561544395973"
"23"," Bordeaux,1979,0.0879276308724832,45.7561545167785"
"24"," Bordeaux,1980,0.0879275536912751,45.7561545939597"
"25"," Bordeaux,1981,0.087927476510067,45.7561546711409"
"26"," Bordeaux,1982,-0.0300311711409398,45.5945588221476"
"27"," Bordeaux,1983,-0.0398611335570469,45.5810925765101"
"28"," Bordeaux,1984,-0.0791807412751679,45.5272273520134"
"29"," Bordeaux,1985,0.0486076402684565,45.7022896751678"
"30"," Bordeaux,1986,0.0486075617449666,45.7022897536913"
"31"," Bordeaux,1987,-0.0202016946308725,45.6080255536913"
"32"," Bordeaux,1988,-0.0300316583892619,45.594559309396"
"33"," Bordeaux,1989,-0.138160455033557,45.4464298174497"
"34"," Bordeaux,1990,0.599080726845638,46.4564042395973"
"35"," Bordeaux,1991,0.638400202684564,46.5102695959732"
"36"," Bordeaux,1992,0.658059912751678,46.5372023020134"
"37"," Bordeaux,1993,0.599080547651007,46.4564044187919"
"38"," Bordeaux,1994,0.618740257718121,46.4833371248322"
"39"," Bordeaux,1995,0.608910313422819,46.4698708610738"
"40"," Bordeaux,1996,0.638399910738255,46.5102698879195"
"41"," Bordeaux,1997,0.549930879194631,46.3890730469799"
"42"," Bordeaux,1998,0.6089101352349,46.4698710392617"
"43"," Bordeaux,1999,0.618739962416107,46.4833374201342"
"44"," Bordeaux,2000,0.608910016442953,46.4698711580537"
"45"," Bordeaux,2001,0.599080069798658,46.4564048966443"
"46"," Bordeaux,2002,0.589250122483222,46.442938635906"
