"1","Ville","Annee","longitudebis","latitudebis","Longitude","Latitude","Time"
"2","Paris","1958","2.3488","48.85341","2.3488","48.85341","."
"3","Paris","1959","2.3488","48.85341","2.3488","48.85341","."
"4","Paris","1960","2.3488","48.85341","2.3488","48.85341","."
"5","Paris","1961","2.3488","48.85341","2.3488","48.85341","."
"6","Paris","1962","2.3488","48.85341","2.3488","48.85341","."
"7","Paris","1963","2.3488","48.85341","2.3488","48.85341","."
"8","Paris","1964","2.3488","48.85341","2.3488","48.85341","."
"9","Paris","1965","2.3488","48.85341","2.3488","48.85341","."
"10","Paris","1966","2.3488","48.85341","2.3488","48.85341","."
"11","Paris","1967","2.3488","48.85341","2.3488","48.85341","."
"12","Paris","1968","2.3488","48.85341","2.3488","48.85341","."
"13","Paris","1969","2.3488","48.85341","2.3488","48.85341","."
"14","Paris","1970","2.3488","48.85341","2.3488","48.85341","."
"15","Paris","1971","2.3488","48.85341","2.3488","48.85341","."
"16","Paris","1972","2.3488","48.85341","2.3488","48.85341","."
"17","Paris","1973","2.3488","48.85341","2.3488","48.85341","."
"18","Paris","1974","2.3488","48.85341","2.3488","48.85341","."
"19","Paris","1975","2.3488","48.85341","2.3488","48.85341","."
"20","Paris","1976","2.3488","48.85341","2.3488","48.85341","."
"21","Paris","1977","2.3488","48.85341","2.3488","48.85341","."
"22","Paris","1978","2.3488","48.85341","2.3488","48.85341","."
"23","Paris","1979","2.3488","48.85341","2.3488","48.85341","."
"24","Paris","1980","2.3488","48.85341","2.3488","48.85341","."
"25","Paris","1981","2.3488","48.85341","2.3488","48.85341","."
"26","Paris","1982","2.3488","48.85341","2.3488","48.85341","."
"27","Paris","1983","2.3488","48.85341","2.3488","48.85341","."
"28","Paris","1984","2.3488","48.85341","2.3488","48.85341","."
"29","Paris","1985","2.3488","48.85341","2.3488","48.85341","."
"30","Paris","1986","2.3488","48.85341","2.3488","48.85341","."
"31","Paris","1987","2.3488","48.85341","2.3488","48.85341","."
"32","Paris","1988","2.3488","48.85341","2.3488","48.85341","."
"33","Paris","1989","2.3488","48.85341","2.3488","48.85341","."
"34","Paris","1990","2.3488","48.85341","2.3488","48.85341","."
"35","Paris","1991","2.3488","48.85341","2.3488","48.85341","."
"36","Paris","1992","2.3488","48.85341","2.3488","48.85341","."
"37","Paris","1993","2.3488","48.85341","2.3488","48.85341","."
"38","Paris","1994","2.3488","48.85341","2.3488","48.85341","."
"39","Paris","1995","2.3488","48.85341","2.3488","48.85341","."
"40","Paris","1996","2.3488","48.85341","2.3488","48.85341","."
"41","Paris","1997","2.3488","48.85341","2.3488","48.85341","."
"42","Paris","1998","2.3488","48.85341","2.3488","48.85341","."
"43","Paris","1999","2.3488","48.85341","2.3488","48.85341","."
"44","Paris","2000","2.3488","48.85341","2.3488","48.85341","."
"45","Paris","2001","2.3488","48.85341","2.3488","48.85341","."
"46","Paris","2002","2.3488","48.85341","2.3488","48.85341","."
"47","Paris","2003","2.3488","48.85341","2.3488","48.85341","."
"48","Paris","2004","2.3488","48.85341","2.3488","48.85341","."
"49","Paris","2005","2.3488","48.85341","2.3488","48.85341","."
"50","Paris","2006","2.3488","48.85341","2.3488","48.85341","."
"51","Paris","2007","2.3488","48.85341","2.3488","48.85341","."
"52","Paris","2008","2.3488","48.85341","2.3488","48.85341","."
"53","Paris","2009","2.3488","48.85341","2.3488","48.85341","."
"54","Paris","2010","2.3488","48.85341","2.3488","48.85341","."
"55","Paris","2011","2.3488","48.85341","2.3488","48.85341","."
"56","Paris","2012","2.3488","48.85341","2.3488","48.85341","."
"57","Paris","2013","2.3488","48.85341","2.3488","48.85341","."
"58","Paris","2014","2.3488","48.85341","2.3488","48.85341","."
"59","Paris","2015","2.3488","48.85341","2.3488","48.85341","."
"60","Paris","2016","2.3488","48.85341","2.3488","48.85341","."
"61","Paris","2017","2.3488","48.85341","2.3488","48.85341","."
"62"," Bordeaux","1958","-0.5805021","44.8404421","-0.5805021","44.8404421","4h58"
"63"," Bordeaux","1959","-0.482203372","44.97510545","-0.5805021","44.8404421","4h48"
"64"," Bordeaux","1960","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"65"," Bordeaux","1961","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"66"," Bordeaux","1962","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"67"," Bordeaux","1963","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"68"," Bordeaux","1964","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"69"," Bordeaux","1965","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"70"," Bordeaux","1966","-0.433054009","45.04243713","-0.5805021","44.8404421","4h43"
"71"," Bordeaux","1967","-0.285605915","45.24443216","-0.5805021","44.8404421","4h28"
"72"," Bordeaux","1968","-0.206966931","45.35216284","-0.5805021","44.8404421","4h20"
"73"," Bordeaux","1969","-0.138157824","45.44642718","-0.5805021","44.8404421","4h13"
"74"," Bordeaux","1970","-0.138157824","45.44642718","-0.5805021","44.8404421","4h13"
"75"," Bordeaux","1971","-0.010369478","45.62148954","-0.5805021","44.8404421","4h"
"76"," Bordeaux","1972","-0.010369478","45.62148954","-0.5805021","44.8404421","4h"
"77"," Bordeaux","1973","-0.010369478","45.62148954","-0.5805021","44.8404421","4h"
"78"," Bordeaux","1974","-0.010369478","45.62148954","-0.5805021","44.8404421","4h"
"79"," Bordeaux","1975","-0.010369478","45.62148954","-0.5805021","44.8404421","4h"
"80"," Bordeaux","1976","-0.010369478","45.62148954","-0.5805021","44.8404421","4h"
"81"," Bordeaux","1977","0.08792925","45.75615289","-0.5805021","44.8404421","3h50"
"82"," Bordeaux","1978","0.08792925","45.75615289","-0.5805021","44.8404421","3h50"
"83"," Bordeaux","1979","0.08792925","45.75615289","-0.5805021","44.8404421","3h50"
"84"," Bordeaux","1980","0.08792925","45.75615289","-0.5805021","44.8404421","3h50"
"85"," Bordeaux","1981","0.08792925","45.75615289","-0.5805021","44.8404421","3h50"
"86"," Bordeaux","1982","-0.030029222","45.59455687","-0.5805021","44.8404421","4h02"
"87"," Bordeaux","1983","-0.039859096","45.58109054","-0.5805021","44.8404421","4h03"
"88"," Bordeaux","1984","-0.079178585","45.5272252","-0.5805021","44.8404421","4h07"
"89"," Bordeaux","1985","0.048609761","45.70228756","-0.5805021","44.8404421","3h54"
"90"," Bordeaux","1986","0.048609761","45.70228756","-0.5805021","44.8404421","3h54"
"91"," Bordeaux","1987","-0.020199349","45.60802321","-0.5805021","44.8404421","4h01"
"92"," Bordeaux","1988","-0.030029222","45.59455687","-0.5805021","44.8404421","4h02"
"93"," Bordeaux","1989","-0.138157824","45.44642718","-0.5805021","44.8404421","4h13"
"94"," Bordeaux","1990","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"95"," Bordeaux","1991","0.638402131","46.51026767","-0.5805021","44.8404421","2h54"
"96"," Bordeaux","1992","0.658061875","46.53720034","-0.5805021","44.8404421","2h52"
"97"," Bordeaux","1993","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"98"," Bordeaux","1994","0.618742383","46.483335","-0.5805021","44.8404421","2h56"
"99"," Bordeaux","1995","0.60891251","46.46986866","-0.5805021","44.8404421","2h57"
"100"," Bordeaux","1996","0.638402131","46.51026767","-0.5805021","44.8404421","2h54"
"101"," Bordeaux","1997","0.549933273","46.38907065","-0.5805021","44.8404421","3h03"
"102"," Bordeaux","1998","0.60891251","46.46986866","-0.5805021","44.8404421","2h57"
"103"," Bordeaux","1999","0.618742383","46.483335","-0.5805021","44.8404421","2h56"
"104"," Bordeaux","2000","0.60891251","46.46986866","-0.5805021","44.8404421","2h57"
"105"," Bordeaux","2001","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"106"," Bordeaux","2002","0.589252765","46.44293599","-0.5805021","44.8404421","2h59"
"107"," Bordeaux","2003","0.638402131","46.51026767","-0.5805021","44.8404421","2h54"
"108"," Bordeaux","2004","0.628572257","46.49680133","-0.5805021","44.8404421","2h55"
"109"," Bordeaux","2005","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"110"," Bordeaux","2006","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"111"," Bordeaux","2007","0.589252765","46.44293599","-0.5805021","44.8404421","2h59"
"112"," Bordeaux","2008","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"113"," Bordeaux","2009","0.579422892","46.42946966","-0.5805021","44.8404421","3h"
