Ville,Zone,Annee,longpoly,latpoly,longcote,latcote
 Bordeaux,2h,1958,1.169215262,47.23744977,2.111648349,47.47808717
 Bordeaux,2h,1959,1.128257458,47.18134004,2.105812403,47.44424254
 Bordeaux,2h,1960,1.106693102,47.15179817,2.090191771,47.3536532
 Bordeaux,2h,1961,1.106693102,47.15179817,2.090191771,47.3536532
 Bordeaux,2h,1962,1.106693102,47.15179817,2.080613689,47.29810665
 Bordeaux,2h,1963,1.106693102,47.15179817,2.088331281,47.34286358
 Bordeaux,2h,1964,1.106693102,47.15179817,2.080613689,47.29810665
 Bordeaux,2h,1965,1.106693102,47.15179817,2.080613689,47.29810665
 Bordeaux,2h,1966,1.106693102,47.15179817,2.07726136,47.27866536
 Bordeaux,2h,1967,1.037172194,47.0565587,2.0470904,47.10369373
 Bordeaux,2h,1968,0.996814415,47.00127097,2.0470904,47.10369373
 Bordeaux,2h,1969,0.9594077,46.95002602,2.0470904,47.10369373
 Bordeaux,2h,1970,0.9594077,46.95002602,2.0470904,47.10369373
 Bordeaux,2h,1971,0.88414895,46.84692605,2.043700404,47.084034
 Bordeaux,2h,1972,0.88414895,46.84692605,2.043700404,47.084034
 Bordeaux,2h,1973,0.88414895,46.84692605,2.043700404,47.084034
 Bordeaux,2h,1974,0.88414895,46.84692605,2.043700404,47.084034
 Bordeaux,2h,1975,0.88414895,46.84692605,2.046249983,47.09881987
 Bordeaux,2h,1976,0.88414895,46.84692605,2.046249983,47.09881987
 Bordeaux,2h,1977,0.82046847,46.75968762,2.046249983,47.09881987
 Bordeaux,2h,1978,0.82046847,46.75968762,2.048757304,47.11336067
 Bordeaux,2h,1979,0.82046847,46.75968762,2.048757304,47.11336067
 Bordeaux,2h,1980,0.82046847,46.75968762,2.048757304,47.11336067
 Bordeaux,2h,1981,0.82046847,46.75968762,2.048757304,47.11336067
 Bordeaux,2h,1982,0.896253504,46.86350856,2.046249983,47.09881987
 Bordeaux,2h,1983,0.902231062,46.87169746,2.046249983,47.09881987
 Bordeaux,2h,1984,0.925657279,46.90378997,2.046249983,47.09881987
 Bordeaux,2h,1985,0.846593795,46.79547774,2.046249983,47.09881987
 Bordeaux,2h,1986,0.846593795,46.79547774,2.046249983,47.09881987
 Bordeaux,2h,1987,0.89022634,46.85525171,2.046249983,47.09881987
 Bordeaux,2h,1988,0.896253504,46.86350856,2.046249983,47.09881987
 Bordeaux,2h,1989,0.9594077,46.95002602,2.048757304,47.11336067
 Bordeaux,2h,1990,0.373989596,46.14803838,2.048757304,47.11336067
 Bordeaux,2h,1991,0.328591655,46.08584593,2.055244714,47.15098336
 Bordeaux,2h,1992,0.30510086,46.05366495,2.062215683,47.19141038
 Bordeaux,2h,1993,0.373989596,46.14803838,2.066681932,47.21731167
 Bordeaux,2h,1994,0.351548568,46.11729552,2.063720063,47.20013479
 Bordeaux,2h,1995,0.362832475,46.1327538,2.051223408,47.12766245
 Bordeaux,2h,1996,0.328591655,46.08584593,2.051223408,47.12766245
 Bordeaux,2h,1997,0.427946164,46.22195564,2.053649304,47.14173104
 Bordeaux,2h,1998,0.362832475,46.1327538,2.06594725,47.213051
 Bordeaux,2h,1999,0.351548568,46.11729552,2.064466346,47.20446273
 Bordeaux,2h,2000,0.362832475,46.1327538,2.063720063,47.20013479
 Bordeaux,2h,2001,0.373989596,46.14803838,2.046249983,47.09881987
 Bordeaux,2h,2002,0.385022056,46.16315219,2.045404872,47.09391878
